,gene1,gene2,both,odds_ratio,pvalue,n1,n2,expected,FDR,log2_OR,testable,exclusivity_reliable
0,CDH5,MMP1,920,2.2421557774948373,1.7367934620940464e-57,10114,1691,607.2781308809431,6.179753481404398e-57,1.1648865152584293,True,True
1,CDH5,COL1A1,375,0.3364959678747514,4.455873199633071e-95,10114,2230,800.845790576288,2.622109998245615e-94,-1.5713388773086874,True,True
2,CDH5,KDR,3969,3.2697316085486703,0.0,10114,6946,2494.4730319923306,0.0,1.7091722189321974,True,True
3,CDH5,VWF,3266,3.7236841306096395,0.0,10114,5315,1908.7423214856371,0.0,1.8967306984255763,True,True
4,CDH5,PECAM1,3040,3.974181537810746,0.0,10114,4801,1724.1527536128963,0.0,1.9906577753851216,True,True
5,CDH5,VEGFA,3000,1.48352036423294,5.744012741245511e-44,10114,6995,2512.0700919646342,1.7232038223736532e-43,0.5690247307792371,True,True
6,CDH5,DLL4,2502,3.456704980842912,3.9349293513724294e-283,10114,4069,1461.2742250470476,6.68937989733313e-282,1.7893974792621063,True,True
7,CDH5,ITGA6,285,2.8279915058560445,2.484789134886174e-28,10114,468,168.06987891914923,6.0344878990092805e-28,1.4997777868807753,True,True
8,CDH5,SEMA3F,939,3.532179904727903,1.0276727188591684e-116,10114,1447,519.6519546923269,8.27546978870804e-116,1.8205588257295522,True,True
9,CDH5,JAG1,485,0.8655806592479864,0.011239830874862976,10114,1478,530.784788552356,0.012552511852949163,-0.20825983130344325,True,True
10,CDH5,FLT1,937,3.3604651608918013,5.798032883178952e-110,10114,1469,527.5526754962184,4.2242811006018077e-109,1.7486609469514551,True,True
11,CDH5,PDGFB,791,3.110766782648015,6.551340110277001e-85,10114,1270,456.0870645882896,3.45639667887028e-84,1.6372702386108762,True,True
12,CDH5,COL1A2,209,0.24478889068397858,2.6745793804656317e-105,10114,1644,590.3993182544473,1.7791767183097464e-104,-2.030390009564367,True,True
13,CDH5,APLN,327,4.006484791792138,2.036472135861213e-48,10114,476,170.94286830238255,6.491254933057616e-48,2.002337000381261,True,True
14,CDH5,PDGFRB,202,0.41880765813434556,3.1464272330666586e-32,10114,1041,373.8477434932358,8.300058045848254e-32,-1.2556402718845685,True,True
15,CDH5,ANGPT2,619,2.2597493185710715,2.2042838088058846e-40,10114,1125,404.01413201718566,6.3633098631566105e-40,1.176162738607937,True,True
16,CDH5,ICAM1,377,2.4122169290639355,9.827578758528468e-29,10114,662,237.73987146255726,2.425192822669122e-28,1.2703596536775037,True,True
17,MMP1,COL1A1,62,0.42988561924223534,2.876219440673795e-13,1691,2230,133.8966019245109,5.000699709353304e-13,-1.2179752455452775,True,True
18,MMP1,KDR,621,1.8491867193393023,5.6245907159807785e-30,1691,6946,417.0608955011895,1.4342706325750984e-29,0.8868909064426405,True,True
19,MMP1,VWF,435,1.5334311370852103,9.275272249500792e-13,1691,5315,319.1302418066257,1.5425181023626317e-12,0.6167633798971491,True,True
20,MMP1,PECAM1,419,1.6617198022587156,9.288921840997113e-17,1691,4801,288.2679757128147,1.7765063020906978e-16,0.7326771366382259,True,True
