cell_type,hier_cluster,n_states,n_cells,main_states
epithelial,10,34,2434,"27.1% in 1 (CDH5); 18.9% in 4 (KDR); 10.7% in 1_4 (CDH5, KDR); 10.6% in 1_7 (CDH5, VEGFA); 7.8% in 1_4_7 (CDH5, KDR, VEGFA)"
epithelial,14,31,1139,"19.7% in 5 (VWF); 15.5% in 1_5 (CDH5, VWF); 9.7% in 1_5_7 (CDH5, VWF, VEGFA); 7.1% in 1_4_5 (CDH5, KDR, VWF); 6.1% in 4_5 (KDR, VWF)"
epithelial,8,34,802,"14.7% in 1_6 (CDH5, PECAM1); 14.5% in 6 (PECAM1); 11.6% in 4_6 (KDR, PECAM1); 11.6% in 1_4_6 (CDH5, KDR, PECAM1); 7.2% in 1_4_6_7 (CDH5, KDR, PECAM1, VEGFA)"
epithelial,5,43,442,"12.9% in 13 (PDGFB); 8.6% in 1_13 (CDH5, PDGFB); 6.3% in 1_7_13 (CDH5, VEGFA, PDGFB); 5.7% in 7_13 (VEGFA, PDGFB); 4.8% in 4_13 (KDR, PDGFB)"
epithelial,4,41,362,"11.3% in 1_10 (CDH5, SEMA3F); 8.6% in 1_7_10 (CDH5, VEGFA, SEMA3F); 6.6% in 1_5_10 (CDH5, VWF, SEMA3F); 5.5% in 1_4_10 (CDH5, KDR, SEMA3F); 5.0% in 4_10 (KDR, SEMA3F)"
epithelial,2,21,203,"27.1% in 1_2 (CDH5, MMP1); 16.7% in 1_2_7 (CDH5, MMP1, VEGFA); 7.9% in 1_2_4_7_8 (CDH5, MMP1, KDR, VEGFA, DLL4); 6.9% in 1_2_4_8 (CDH5, MMP1, KDR, DLL4); 6.9% in 1_2_8 (CDH5, MMP1, DLL4)"
epithelial,6,26,177,"14.1% in 1_17 (CDH5, ANGPT2); 11.9% in 4_17 (KDR, ANGPT2); 11.3% in 1_4_17 (CDH5, KDR, ANGPT2); 6.2% in 1_7_17 (CDH5, VEGFA, ANGPT2); 5.6% in 1_4_7_17 (CDH5, KDR, VEGFA, ANGPT2)"
epithelial,1,24,159,"9.4% in 1_2_4_6 (CDH5, MMP1, KDR, PECAM1); 8.8% in 1_2_5_7 (CDH5, MMP1, VWF, VEGFA); 7.5% in 1_2_4_5_7 (CDH5, MMP1, KDR, VWF, VEGFA); 7.5% in 1_2_4_5 (CDH5, MMP1, KDR, VWF); 7.5% in 1_2_4_6_7 (CDH5, MMP1, KDR, PECAM1, VEGFA)"
epithelial,9,13,101,"30.7% in 12 (FLT1); 12.9% in 7_12 (VEGFA, FLT1); 8.9% in 4_12 (KDR, FLT1); 6.9% in 7_8_12 (VEGFA, DLL4, FLT1); 6.9% in 4_7_8_12 (KDR, VEGFA, DLL4, FLT1)"
epithelial,7,14,99,"30.3% in 1_18 (CDH5, ICAM1); 11.1% in 1_7_18 (CDH5, VEGFA, ICAM1); 8.1% in 4_18 (KDR, ICAM1); 8.1% in 1_5_18 (CDH5, VWF, ICAM1); 7.1% in 1_4_18 (CDH5, KDR, ICAM1)"
epithelial,12,14,84,"16.7% in 1_4_7_9 (CDH5, KDR, VEGFA, ITGA6); 15.5% in 4_9 (KDR, ITGA6); 9.5% in 1_4_9 (CDH5, KDR, ITGA6); 8.3% in 4_7_9 (KDR, VEGFA, ITGA6); 7.1% in 1_4_6_9 (CDH5, KDR, PECAM1, ITGA6)"
epithelial,3,18,82,"9.8% in 1_5_7_12 (CDH5, VWF, VEGFA, FLT1); 8.5% in 1_4_5_7_12 (CDH5, KDR, VWF, VEGFA, FLT1); 7.3% in 1_5_12 (CDH5, VWF, FLT1); 7.3% in 1_4_7_10_12 (CDH5, KDR, VEGFA, SEMA3F, FLT1); 7.3% in 1_8_10_12 (CDH5, DLL4, SEMA3F, FLT1)"
epithelial,11,8,49,"32.7% in 1_11 (CDH5, JAG1); 16.3% in 1_7_11 (CDH5, VEGFA, JAG1); 12.2% in 1_4_11 (CDH5, KDR, JAG1); 10.2% in 1_4_7_11 (CDH5, KDR, VEGFA, JAG1); 8.2% in 5_11 (VWF, JAG1)"
epithelial,13,7,40,"27.5% in 1_15 (CDH5, APLN); 25.0% in 1_7_15 (CDH5, VEGFA, APLN); 12.5% in 1_5_15 (CDH5, VWF, APLN); 10.0% in 5_15 (VWF, APLN); 10.0% in 1_5_7_15 (CDH5, VWF, VEGFA, APLN)"
fibroblast,1,40,685,"15.0% in 3_14 (COL1A1, COL1A2); 11.5% in 3 (COL1A1); 11.1% in 14 (COL1A2); 11.1% in 3_7 (COL1A1, VEGFA); 8.0% in 3_7_14 (COL1A1, VEGFA, COL1A2)"
