g1,g2,log2_OR
MMP1,VEGFA,0.5954432511180757
MMP1,DLL4,1.320259643717348
MMP1,SEMA3F,1.1350921719436464
MMP1,JAG1,0.7069857162111083
MMP1,FLT1,1.0388373682284437
MMP1,APLN,1.31916800317086
MMP1,ANGPT2,0.48909359518179496
KDR,VEGFA,0.4223210996227477
KDR,DLL4,0.35572595395151324
KDR,ITGA6,1.0615939200484528
KDR,PDGFRB,1.4433673331232293
VEGFA,DLL4,0.705007509395883
VEGFA,ITGA6,0.7346670382125333
VEGFA,SEMA3F,0.5061111785040358
VEGFA,JAG1,0.573621834031689
VEGFA,FLT1,0.45047336880568484
VEGFA,PDGFB,0.3756820292466604
DLL4,ITGA6,0.7913093466065011
DLL4,SEMA3F,1.2800613887849739
DLL4,FLT1,1.9055872770914446
DLL4,ANGPT2,0.4612560647103999
DLL4,ICAM1,0.7525690908007705
ITGA6,FLT1,0.7322758052630971
ITGA6,ANGPT2,1.002330737048362
SEMA3F,FLT1,1.591666505988226
SEMA3F,PDGFB,0.49762459215085314
SEMA3F,APLN,0.9668528525590991
SEMA3F,ICAM1,1.1163628165901716
JAG1,PDGFB,0.8090278313942175
JAG1,ANGPT2,0.8778849308317014
JAG1,ICAM1,1.3431610106942904
FLT1,ICAM1,0.8158197393994795
PDGFB,APLN,1.1541918277676395
PDGFB,PDGFRB,2.651076940195944
PDGFB,ANGPT2,1.2664979623821486
PDGFB,ICAM1,0.8153686293776412
APLN,ANGPT2,1.6478795343605945
