cluster_id,n_states,n_cells,example_states,pct_all_cells
21,32,2825,"1, 1_4, 1_6, 1_4_6, 6",13.443418673265443
17,44,1737,"5, 1_5, 1_4_5, 4_5, 13",8.265917959455601
16,13,1342,"7, 1_7, 1_5_7, 5_7, 1_6_7",6.3862187113353
3,16,1085,"4, 4_7, 1_2_4_7, 2_4, 1_2_4",5.163224516988675
19,24,896,"1_8, 8, 1_4_8, 1_5_8, 1_7_8",4.263824117255163
2,23,657,"14, 3, 3_14, 3_7, 3_7_14",3.1264871038355384
4,19,431,"2, 1_2, 1_2_7, 2_7, 1_2_5",2.051013609974303
14,32,409,"11, 1_11, 7_11, 4_11, 1_7_11",1.9463214999524128
13,40,389,"17, 1_17, 1_4_17, 4_17, 7_17",1.851146854477967
10,28,369,"1_10, 10, 7_10, 1_7_10, 1_5_10",1.7559722090035215
18,7,360,"1_4_7, 1_4_5_7, 1_4_16, 1_4_7_16, 1_4_5_7_16",1.7131436185400208
8,26,302,"1_12, 12, 1_4_12, 1_8_12, 8_12",1.4371371466641287
15,25,227,"18, 1_18, 7_18, 1_4_18, 4_18",1.0802322261349577
1,20,211,"16, 1_16, 7_16, 3_14_16, 3_7_16",1.0040925097554012
12,28,202,"9, 1_9, 1_4_7_9, 4_9, 1_4_6_9",0.9612639192919007
20,20,141,"15, 1_15, 1_4_15, 5_15, 1_7_15",0.6709812505948415
5,18,116,"1_2_4_6, 1_2_6_7, 1_2_6, 2_4_6, 1_2_5_6_8",0.5520129437517846
6,20,108,"1_2_4_5, 1_2_7_10, 1_2_5_7, 1_2_7_8_10, 1_2_4_5_7",0.5139430855620063
7,15,90,"1_5_12, 1_5_6_12, 5_12, 1_4_5_12, 1_4_5_6_12",0.4282859046350052
9,15,76,"1_8_10, 1_5_8_10, 1_4_8_10, 1_10_12, 1_7_8_10",0.3616636528028933
11,2,6,"1_2_4_7_8_9_10, 1_2_4_7_9_10",0.02855239364233368
