cell_type,method,cluster,n_cells,pct_of_cell_type,main_states
endothelial,Bernoulli mixture,1,2334,27.020143551748088,"20% 4 (KDR); 11% 1_4 (CDH5, KDR); 8% 1_4_7 (CDH5, KDR, VEGFA)"
endothelial,Bernoulli mixture,3,2027,23.466080111136836,"33% 1 (CDH5); 13% 1_7 (CDH5, VEGFA); 9% 1_5 (CDH5, VWF)"
endothelial,Bernoulli mixture,0,1511,17.49247510997916,"3% 1_8 (CDH5, DLL4); 3% 1_7_8 (CDH5, VEGFA, DLL4); 2% 1_4_8 (CDH5, KDR, DLL4)"
endothelial,Bernoulli mixture,4,1153,13.34799722157907,19% 5 (VWF); 10% 6 (PECAM1); 9% 2 (MMP1)
endothelial,Bernoulli mixture,5,969,11.21787450798796,"62% 7 (VEGFA); 5% 2_7 (MMP1, VEGFA); 5% 5_7 (VWF, VEGFA)"
endothelial,Bernoulli mixture,2,644,7.455429497568882,"4% 1_4_5_6_7 (CDH5, KDR, VWF, PECAM1, VEGFA); 2% 1_4_5_7_10 (CDH5, KDR, VWF, VEGFA, SEMA3F); 2% 1_4_5_7_13 (CDH5, KDR, VWF, VEGFA, PDGFB)"
endothelial,KMeans,1,2082,24.102801574438526,"29% 7 (VEGFA); 12% 1_7 (CDH5, VEGFA); 9% 1_4_7 (CDH5, KDR, VEGFA)"
endothelial,KMeans,0,1909,22.100023153507756,24% 4 (KDR); 12% 5 (VWF); 6% 6 (PECAM1)
endothelial,KMeans,2,1671,19.34475573049317,"39% 1 (CDH5); 16% 1_4 (CDH5, KDR); 7% 1_6 (CDH5, PECAM1)"
endothelial,KMeans,5,1190,13.776337115072934,"15% 1_5 (CDH5, VWF); 9% 1_5_7 (CDH5, VWF, VEGFA); 7% 1_4_5 (CDH5, KDR, VWF)"
endothelial,KMeans,3,990,11.460986339430423,"9% 1_4_6 (CDH5, KDR, PECAM1); 9% 4_6 (KDR, PECAM1); 6% 1_4_6_7 (CDH5, KDR, PECAM1, VEGFA)"
endothelial,KMeans,4,796,9.215096087057189,"7% 1_2 (CDH5, MMP1); 6% 2_7 (MMP1, VEGFA); 4% 1_2_7 (CDH5, MMP1, VEGFA)"
endothelial,Hierarchical (jaccard),1,6322,73.18823801805974,"10% 1 (CDH5); 4% 1_4 (CDH5, KDR); 4% 1_7 (CDH5, VEGFA)"
endothelial,Hierarchical (jaccard),2,1166,13.498495021995833,"40% 4 (KDR); 8% 4_6 (KDR, PECAM1); 5% 13 (PDGFB)"
endothelial,Hierarchical (jaccard),6,627,7.258624681639269,"96% 7 (VEGFA); 2% 15 (APLN); 1% 7_15 (VEGFA, APLN)"
endothelial,Hierarchical (jaccard),3,256,2.963648992822413,"88% 5 (VWF); 4% 2_5 (MMP1, VWF); 2% 4_5_9 (KDR, VWF, ITGA6)"
endothelial,Hierarchical (jaccard),4,135,1.562861773558694,"37% 11 (JAG1); 20% 7_11 (VEGFA, JAG1); 12% 1_11 (CDH5, JAG1)"
endothelial,Hierarchical (jaccard),5,132,1.5281315119240564,"75% 2 (MMP1); 10% 2_8 (MMP1, DLL4); 3% 2_7_11 (MMP1, VEGFA, JAG1)"
fibroblast,Bernoulli mixture,0,556,66.66666666666667,"19% 3_14 (COL1A1, COL1A2); 14% 3 (COL1A1); 14% 3_7 (COL1A1, VEGFA)"
fibroblast,Bernoulli mixture,2,193,23.14148681055156,"39% 14 (COL1A2); 25% 7_14 (VEGFA, COL1A2); 5% 11_14 (JAG1, COL1A2)"
fibroblast,Bernoulli mixture,1,85,10.191846522781775,"31% 16 (PDGFRB); 13% 7_16 (VEGFA, PDGFRB); 6% 1_16 (CDH5, PDGFRB)"
fibroblast,KMeans,1,418,50.11990407673861,"25% 3_14 (COL1A1, COL1A2); 18% 14 (COL1A2); 13% 3_7_14 (COL1A1, VEGFA, COL1A2)"
fibroblast,KMeans,2,245,29.376498800959233,"32% 3 (COL1A1); 31% 3_7 (COL1A1, VEGFA); 6% 3_7_11 (COL1A1, VEGFA, JAG1)"
fibroblast,KMeans,0,171,20.503597122302157,"15% 16 (PDGFRB); 8% 3_7_16 (COL1A1, VEGFA, PDGFRB); 8% 3_11_14_16 (COL1A1, JAG1, COL1A2, PDGFRB)"
fibroblast,Hierarchical (jaccard),1,718,86.09112709832134,"14% 3_14 (COL1A1, COL1A2); 11% 3 (COL1A1); 11% 14 (COL1A2)"
fibroblast,Hierarchical (jaccard),3,114,13.66906474820144,"23% 16 (PDGFRB); 12% 3_7_16 (COL1A1, VEGFA, PDGFRB); 10% 7_16 (VEGFA, PDGFRB)"
fibroblast,Hierarchical (jaccard),2,2,0.23980815347721823,"50% 6_8_10_16_17_18 (PECAM1, DLL4, SEMA3F, PDGFRB, ANGPT2, ICAM1); 50% 5_10_16_17 (VWF, SEMA3F, PDGFRB, ANGPT2)"
fibroblast,Consensus,2,524,62.829736211031175,"20% 3_14 (COL1A1, COL1A2); 15% 3 (COL1A1); 15% 3_7 (COL1A1, VEGFA)"
fibroblast,Consensus,3,193,23.14148681055156,"39% 14 (COL1A2); 25% 7_14 (VEGFA, COL1A2); 5% 11_14 (JAG1, COL1A2)"
fibroblast,Consensus,1,117,14.028776978417266,"22% 16 (PDGFRB); 12% 3_7_16 (COL1A1, VEGFA, PDGFRB); 9% 7_16 (VEGFA, PDGFRB)"
