,label,cell_area_pixel,nuclear_area_pixel,filename,cell_type,treatment,timepoint,YAP_cell,YAP_nucleus,YAP_nucleus/cell,GFP_cell,GFP_nucleus,GFP_nucleus/cell,nuc/cell_area
0,5,135638.0,28127.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,10428227.0,4081547.0,0.39139414590802446,5858535.0,1483201.0,0.25316926501249887,0.2073681416712131
1,6,189278.0,36024.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,13470742.0,5287897.0,0.3925468248148469,7817234.0,1813957.0,0.23204588733048032,0.19032322826741618
2,7,160398.0,29906.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,9383542.0,2774751.0,0.2957040102767164,6674905.0,1457776.0,0.21839651650472927,0.18644870883676853
3,9,121771.0,31817.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,9569180.0,3261814.0,0.3408666155302753,5335787.0,1585654.0,0.2971734066595987,0.26128552775291325
4,11,152154.0,34257.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,8891946.0,3154742.0,0.3547864550684406,6312204.0,1642101.0,0.2601470104578369,0.22514689065026222
5,12,108360.0,30847.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,9402808.0,3299181.0,0.35087188848267453,4995788.0,1574742.0,0.3152139362198716,0.284671465485419
6,13,220274.0,21633.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,10040028.0,2403886.0,0.23943020876037396,7726722.0,1078106.0,0.1395295443527022,0.09820950271026085
7,14,104089.0,29405.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,8574599.0,3395262.0,0.39596743824405084,4469098.0,1394354.0,0.3119989760797369,0.28249863097925815
8,15,167466.0,33236.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,9728379.0,3089489.0,0.3175749012245514,6903668.0,1638448.0,0.23733006859541914,0.1984641658605329
9,16,119654.0,28709.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,8364494.0,2319638.0,0.2773195844243537,5177686.0,1393076.0,0.2690537819404267,0.23993347485249136
10,19,171446.0,29429.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,11248415.0,3717286.0,0.33047198205258255,7377812.0,1553858.0,0.21061230619592908,0.17165171540893343
11,20,166213.0,29733.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,8927730.0,2345288.0,0.26269701256646427,6592610.0,1399818.0,0.21233138316994332,0.1788849247652109
12,21,204927.0,31930.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,12314842.0,3780574.0,0.30699330125388535,8469918.0,1684300.0,0.19885670675914455,0.15581158168518547
13,22,155136.0,32250.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,11077613.0,2907217.0,0.26244074422892366,6760934.0,1626718.0,0.24060551397188612,0.20788211633663367
14,24,148842.0,35500.0,1hrBleb_Composite_1.tif,OTHER,blebbistatin,1hr,8256257.0,3087925.0,0.3740102809299662,5973155.0,1673453.0,0.28016232627480786,0.23850794802542294
0,6,295548.0,32177.0,1hrBleb_Composite_10.tif,OTHER,blebbistatin,1hr,16826704.0,4831615.0,0.2871397155378736,15706464.0,2516069.0,0.16019321726392394,0.10887233207465453
1,7,318578.0,37719.0,1hrBleb_Composite_10.tif,OTHER,blebbistatin,1hr,14838407.0,3662297.0,0.24681200616750842,16193027.0,2669035.0,0.16482619339793603,0.11839800613978366
2,11,163211.0,26262.0,1hrBleb_Composite_10.tif,OTHER,blebbistatin,1hr,9700969.0,2637482.0,0.27187820103331944,8948420.0,1905151.0,0.21290361873939756,0.16090827211401193
3,13,207545.0,31697.0,1hrBleb_Composite_10.tif,OTHER,blebbistatin,1hr,9531331.0,3403829.0,0.3571200076883281,10507240.0,2120169.0,0.20178172383994275,0.1527235057457419
0,3,245367.0,36590.0,1hrBleb_Composite_2.tif,OTHER,blebbistatin,1hr,16231907.0,4516982.0,0.27827796204105903,14694305.0,2840533.0,0.19330842799302178,0.1491235577726426
1,5,214272.0,34202.0,1hrBleb_Composite_2.tif,OTHER,blebbistatin,1hr,11904987.0,3530210.0,0.2965320331723168,12905501.0,2674990.0,0.20727517668628284,0.15961954898446834
2,6,242319.0,31554.0,1hrBleb_Composite_2.tif,OTHER,blebbistatin,1hr,13449449.0,4896256.0,0.3640488171671568,14077046.0,2571655.0,0.18268427907389093,0.1302167803597737
3,10,310167.0,30610.0,1hrBleb_Composite_2.tif,OTHER,blebbistatin,1hr,15227677.0,3161683.0,0.20762740108028296,17982418.0,2205767.0,0.12266242504206053,0.09868877088794101
0,6,168950.0,28078.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,11843694.0,2622910.0,0.22146046664157315,10931386.0,2239425.0,0.20486194522817144,0.16619118082272863
1,8,118205.0,38944.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,12211713.0,4982046.0,0.4079727389597184,8636565.0,3220413.0,0.3728812322954786,0.32946152870013956
2,9,161335.0,38692.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,15529722.0,5500567.0,0.35419610215817127,11192920.0,3095563.0,0.27656438176990455,0.2398239687606533
3,10,76331.0,21135.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,8525575.0,2801436.0,0.32859203044955915,5556790.0,1639894.0,0.29511534537025874,0.2768861930277345
4,11,154041.0,29373.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,13322393.0,3703717.0,0.278006886600628,10055994.0,2346662.0,0.23335952666638424,0.19068299998052465
5,12,113114.0,36226.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,9201054.0,3474583.0,0.37762880209158645,7793280.0,2855399.0,0.36639245606471216,0.32026097565288114
6,14,102582.0,27781.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,8789095.0,3366059.0,0.3829812967091606,6652548.0,1996504.0,0.30011117544736243,0.27081749234758534
7,15,378710.0,24234.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,11842546.0,3313477.0,0.27979431112194963,18279818.0,1850932.0,0.1012554939004316,0.06399091653243907
8,19,97017.0,26707.0,1hrBleb_Composite_3.tif,OTHER,blebbistatin,1hr,8459998.0,2846392.0,0.33645303462246684,6339558.0,1938728.0,0.3058143801192449,0.2752816516692951
0,4,188997.0,31234.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,10179265.0,2686899.0,0.2639580559107165,11034854.0,2138921.0,0.1938331943494676,0.16526188246374282
1,7,241738.0,30140.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,11776902.0,3757864.0,0.3190876514044186,13895503.0,2283301.0,0.16431942046286485,0.12468043915313273
2,10,176047.0,33283.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,13467667.0,4605277.0,0.3419506140150332,11378695.0,2715163.0,0.23861813678985155,0.18905746760808192
3,11,336899.0,35479.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,14974917.0,3264451.0,0.21799459723215828,18836712.0,2477758.0,0.13153877385819776,0.10531049364943203
4,13,213186.0,29856.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,13888688.0,3580800.0,0.2578213291277045,13081926.0,2286326.0,0.1747698312924259,0.1400467197658383
5,14,197481.0,33480.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,9152841.0,2907405.0,0.3176505524350308,10845736.0,2195905.0,0.20246712625127516,0.16953529706655324
6,16,193345.0,31164.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,12669335.0,3118217.0,0.24612317852515542,12330123.0,2485997.0,0.20161980541475538,0.16118337686518916
7,18,228670.0,28464.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,8147197.0,1665449.0,0.20441987594015462,11950380.0,1880971.0,0.15739842582411606,0.12447631958717803
8,19,133270.0,25623.0,1hrBleb_Composite_4.tif,OTHER,blebbistatin,1hr,9796168.0,2529210.0,0.25818360812105307,9015655.0,2120470.0,0.2351986627704809,0.1922638253170256
0,6,146548.0,27157.0,1hrBleb_Composite_5.tif,OTHER,blebbistatin,1hr,7402852.0,3273046.0,0.44213311302184616,6649411.0,1504780.0,0.22630275072483863,0.18531129732237903
1,9,188611.0,32221.0,1hrBleb_Composite_5.tif,OTHER,blebbistatin,1hr,10182961.0,3857986.0,0.3788668148684847,8953947.0,1862132.0,0.20796772641160374,0.17083309032877192
2,10,141353.0,31207.0,1hrBleb_Composite_5.tif,OTHER,blebbistatin,1hr,9749196.0,4158309.0,0.4265284029575362,6794728.0,1770661.0,0.2605933600285398,0.2207735244388163
3,11,164300.0,30779.0,1hrBleb_Composite_5.tif,OTHER,blebbistatin,1hr,10966077.0,4656244.0,0.42460435030685995,8038112.0,1876574.0,0.2334595487099458,0.18733414485696895
4,13,208255.0,36208.0,1hrBleb_Composite_5.tif,OTHER,blebbistatin,1hr,10853710.0,4362708.0,0.4019554603909631,9574087.0,2033659.0,0.21241283894746307,0.17386377277856474
5,14,167423.0,28343.0,1hrBleb_Composite_5.tif,OTHER,blebbistatin,1hr,8352839.0,2662705.0,0.31877844167713515,7469924.0,1514889.0,0.2027984488195596,0.16928976305525525
6,15,245928.0,34016.0,1hrBleb_Composite_5.tif,OTHER,blebbistatin,1hr,12442895.0,3956243.0,0.3179519717879159,11245929.0,2006747.0,0.17844208335300712,0.13831690576103575
0,5,179635.0,27101.0,1hrBleb_Composite_6.tif,OTHER,blebbistatin,1hr,4408346.0,1579751.0,0.3583545846900402,5958062.0,1132301.0,0.19004518583391714,0.15086703593397724
1,7,207510.0,31371.0,1hrBleb_Composite_6.tif,OTHER,blebbistatin,1hr,6688374.0,2682702.0,0.4010992806323331,7435227.0,1468660.0,0.19752725774209717,0.15117825646956773
2,13,260515.0,34077.0,1hrBleb_Composite_6.tif,OTHER,blebbistatin,1hr,7729468.0,2956977.0,0.382558929023317,9123210.0,1637321.0,0.17946764351582392,0.13080628754582269
0,4,124053.0,26849.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,6084565.0,1544400.0,0.2538225822223939,6060720.0,1483346.0,0.24474748874721156,0.21643168645659516
1,9,205138.0,31212.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,10537890.0,3234273.0,0.30691846280422364,10311395.0,1989328.0,0.19292520556142015,0.1521512347785393
2,10,154336.0,32320.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,10788024.0,2805449.0,0.2600521652528767,8507121.0,2046661.0,0.2405820958700364,0.2094132282811528
3,11,168008.0,32233.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,12444149.0,4283716.0,0.344235351087487,9783981.0,2369227.0,0.2421536795707187,0.19185395933526975
4,12,146259.0,36461.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,8294050.0,3203894.0,0.3862882427764482,7760562.0,2264120.0,0.29174691214373394,0.24929064194340178
5,16,230211.0,33532.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,12307539.0,2359446.0,0.1917073754549955,11832530.0,2002647.0,0.16924926452753553,0.14565767925946196
6,17,170909.0,33385.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,10974157.0,3027622.0,0.27588652139749775,9385779.0,2155271.0,0.22963155215992195,0.19533786986056909
7,20,191556.0,34510.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,8615738.0,3161383.0,0.36693119034028193,9535213.0,2085372.0,0.21870219364790278,0.18015619453319134
8,22,143294.0,31541.0,1hrBleb_Composite_7.tif,OTHER,blebbistatin,1hr,8277993.0,3470476.0,0.4192412339561051,7474760.0,2019296.0,0.2701486067780103,0.22011389171912293
