,filename,image_shape,final_gel_intensity,final_vascular_intensity,initial_gel_intensity,initial_vascular_intensity,vascular_volume_um3,gel_volume_um3,vasculature_surface_area_um2,p_um/s,p_cm/s,bead,rln,mcl,ligand
0,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 2,"(3, 36, 512, 512)",15246285.0,116276721.0,11906772.0,124558040.0,73423138.73960783,170404648.56110537,5396960.422547679,0.0026000204139658,2.600020413965831e-07,False,True,False,unknown
1,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 1,"(3, 42, 512, 512)",17222645.0,88108795.0,14422564.0,91270589.0,72624911.28477642,211326435.9514972,6832713.31940949,0.0031303724490965,3.1303724490965336e-07,False,True,False,unknown
2,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 4,"(3, 41, 512, 512)",15005195.0,114410632.0,13182857.0,119022366.0,76785284.97700126,200993206.88457072,6287928.189375045,0.0015288061473596,1.528806147359624e-07,False,True,False,unknown
3,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 3,"(3, 42, 512, 512)",18832157.0,134287948.0,18135117.0,139589283.0,91637529.06986378,192313818.1664098,7375253.939654122,0.0004156964313882,4.1569643138826354e-08,False,True,False,unknown
5,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 1,"(3, 39, 512, 512)",51458024.0,115178690.0,31348719.0,110135419.0,95609557.48729864,169823223.62487015,11152006.926780012,0.010796567394344,1.079656739434409e-06,False,False,False,unknown
6,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 2,"(3, 32, 512, 512)",22314743.0,91915426.0,16485045.0,93420286.0,45868991.51138087,170180946.6031751,3507674.684077103,0.0102119778616926,1.02119778616927e-06,False,False,False,unknown
7,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 3,"(3, 33, 512, 512)",38309743.0,121442967.0,29688453.0,124020778.0,78400884.06474799,146908337.1118604,7016700.5010731,0.0053152380274356,5.315238027435606e-07,False,False,False,unknown
8,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 4,"(3, 31, 512, 512)",33967004.0,230072607.0,22262465.0,199486725.0,160996544.82809305,48880537.91176134,11534695.54910813,0.0007774249619876,7.774249619876272e-08,False,False,False,unknown
11,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device1/P 1,"(3, 37, 512, 512)",15079872.0,46531415.0,11517134.0,40070662.0,42113424.17271167,207887218.5027031,4082613.216376278,0.0176486365848669,1.7648636584866949e-06,False,False,False,unknown
12,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device1/P 2,"(3, 33, 512, 512)",20393265.0,45974952.0,15101377.0,41127001.0,57858651.16026993,167450570.01633847,8639999.641612396,0.0109466163609583,1.094661636095833e-06,False,False,False,unknown
13,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device1/P 3,"(3, 33, 512, 512)",16777069.0,42711776.0,17863535.0,49203565.0,42408663.66203056,182900557.51457784,4299604.242343767,-0.0040963851014605,-4.09638510146054e-07,False,False,False,unknown
16,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device2/P 1,"(3, 31, 512, 512)",15876575.0,180379625.0,13154750.0,188844359.0,79951268.14486443,129925814.59498996,4746123.90926058,0.0011780615938438,1.1780615938438813e-07,True,False,False,unknown
